ID,Date,Houston,San Antonio,Austin
296,9/30/2020,231987.8934,246357.3304,362989.2744
297,10/31/2020,233498.1023,249195.503,367859.1553
298,11/30/2020,235715.3544,250425.1883,375898.0906
299,12/31/2020,238126.6007,252523.1965,380761.8153
300,1/31/2021,240200.2402,255911.225,385666.3619
301,2/28/2021,244084.4489,259782.0976,408294.7435
302,3/31/2021,244940.7446,262570.644,429530.6028
303,4/30/2021,249149.1674,268820.1027,453959.6407
304,5/31/2021,255525.6618,275389.6651,476121.6195
305,6/30/2021,262257.3482,283269.7805,500678.1689
306,7/31/2021,267525.6095,288030.4092,512524.0099
307,8/31/2021,272803.9944,294249.9615,519717.4416
308,9/30/2021,275561.0516,295737.1995,520786.1899
309,10/31/2021,278745.9493,300778.8666,529032.5724
310,11/30/2021,280885.2398,306354.5574,540029.171
311,12/31/2021,284714.2881,311433.6477,555830.362
312,1/31/2022,288260.536,317716.8855,568407.2146
313,2/28/2022,294065.2721,322830.8114,582523.7785
314,3/31/2022,301611.3388,331946.8063,593016.3799
315,4/30/2022,307817.0749,338571.9221,599321.9112
316,5/31/2022,312700.4179,341724.8126,602636.6142
317,6/30/2022,315552.3154,344450.9786,581486.1799
318,7/31/2022,315835.8572,342806.0899,565944.93
319,8/31/2022,314409.0886,342394.1584,558280.9586
320,9/30/2022,314021.3034,341249.8233,553043.4604
321,10/31/2022,315089.3878,339669.1419,541124.6875
