ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2018,"2018",3478,297,"Fair Oaks Ranch, TX","16000US4825168","fair-oaks-ranch-tx",0.9045513654096229
0,"Owner Occupied",2018,"2018",2516,154,"Helotes, TX","16000US4833146","helotes-tx",0.9537528430629265
0,"Owner Occupied",2018,"2018",222,34,"Hill Country Village, TX","16000US4833968","hill-country-village-tx",0.9736842105263158
0,"Owner Occupied",2018,"2018",1100,140,"Hollywood Park, TX","16000US4834628","hollywood-park-tx",0.8233532934131736
0,"Owner Occupied",2018,"2018",1867,291,"Kirby, TX","16000US4839448","kirby-tx",0.6018697614442295
0,"Owner Occupied",2018,"2018",0,19,"Lackland AFB, TX","16000US4840036","lackland-afb-tx",0
0,"Owner Occupied",2018,"2018",2474,232.99999999999997,"Leon Valley, TX","16000US4842388","leon-valley-tx",0.5957139417288707
0,"Owner Occupied",2018,"2018",3485,345,"Live Oak, TX","16000US4843096","live-oak-tx",0.564098413726125
0,"Owner Occupied",2018,"2018",570,49,"Olmos Park, TX","16000US4853988","olmos-park-tx",0.7620320855614974
0,"Owner Occupied",2018,"2018",270784,2638,"San Antonio, TX","16000US4865000","san-antonio-tx",0.5439679867575744
0,"Owner Occupied",2018,"2018",1684,158,"Scenic Oaks, TX","16000US4866089","scenic-oaks-tx",0.9360755975541968
0,"Owner Occupied",2018,"2018",10229,442.00000000000006,"Schertz, TX","16000US4866128","schertz-tx",0.7572549600236896
0,"Owner Occupied",2018,"2018",2017,290,"Selma, TX","16000US4866704","selma-tx",0.601550849985088
0,"Owner Occupied",2018,"2018",1155,114.00000000000001,"Shavano Park, TX","16000US4867268","shavano-park-tx",0.9490550534100246
0,"Owner Occupied",2018,"2018",1742,132,"Terrell Hills, TX","16000US4872296","terrell-hills-tx",0.9529540481400438
0,"Owner Occupied",2018,"2018",6899,229,"Timberwood Park, TX","16000US4873057","timberwood-park-tx",0.838682227084853
0,"Owner Occupied",2018,"2018",182,42,"Von Ormy, TX","16000US4875764","von-ormy-tx",0.6666666666666666
0,"Owner Occupied",2018,"2018",1789,249,"Windcrest, TX","16000US4879672","windcrest-tx",0.8371548900327562
0,"Owner Occupied",2018,"2018",503727,3686.9999999999995,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx",0.6267896205121058
0,"Owner Occupied",2017,"2017",75833135,358989,"United States","01000US","united-states",0.6381868060589238
0,"Owner Occupied",2017,"2017",5851046,29464.999999999996,"Texas","04000US48","texas",0.6204439060448957
0,"Owner Occupied",2017,"2017",368817,2615,"Bexar County, TX","05000US48029","bexar-county-tx",0.5873920390387473
0,"Owner Occupied",2017,"2017",2384,202,"Alamo Heights, TX","16000US4801600","alamo-heights-tx",0.7389956602603843
0,"Owner Occupied",2017,"2017",169,46,"Balcones Heights, TX","16000US4805384","balcones-heights-tx",0.12114695340501792
0,"Owner Occupied",2017,"2017",1322,142,"Castle Hills, TX","16000US4813276","castle-hills-tx",0.7588978185993112
0,"Owner Occupied",2017,"2017",393,59,"China Grove, TX","16000US4814716","china-grove-tx",0.9290780141843972
0,"Owner Occupied",2017,"2017",4591,346,"Converse, TX","16000US4816468","converse-tx",0.6888222055513878
0,"Owner Occupied",2017,"2017",1078,135,"Cross Mountain, TX","16000US4817811","cross-mountain-tx",0.8630904723779024
0,"Owner Occupied",2017,"2017",3141,234.00000000000003,"Fair Oaks Ranch, TX","16000US4825168","fair-oaks-ranch-tx",0.922737955346651
0,"Owner Occupied",2017,"2017",2540,147,"Helotes, TX","16000US4833146","helotes-tx",0.9566854990583804
0,"Owner Occupied",2017,"2017",252,33,"Hill Country Village, TX","16000US4833968","hill-country-village-tx",0.9655172413793104
0,"Owner Occupied",2017,"2017",1200,109,"Hollywood Park, TX","16000US4834628","hollywood-park-tx",0.8614501076812635
0,"Owner Occupied",2017,"2017",1979,238,"Kirby, TX","16000US4839448","kirby-tx",0.6246843434343434
0,"Owner Occupied",2017,"2017",0,19,"Lackland AFB, TX","16000US4840036","lackland-afb-tx",0
0,"Owner Occupied",2017,"2017",2348,296,"Leon Valley, TX","16000US4842388","leon-valley-tx",0.5683853788428952
0,"Owner Occupied",2017,"2017",3572,330,"Live Oak, TX","16000US4843096","live-oak-tx",0.573538856775851
0,"Owner Occupied",2017,"2017",570,45,"Olmos Park, TX","16000US4853988","olmos-park-tx",0.7402597402597403
0,"Owner Occupied",2017,"2017",269464,2348,"San Antonio, TX","16000US4865000","san-antonio-tx",0.5451867438190426
0,"Owner Occupied",2017,"2017",1598,149,"Scenic Oaks, TX","16000US4866089","scenic-oaks-tx",0.9312354312354313
0,"Owner Occupied",2017,"2017",9801,445,"Schertz, TX","16000US4866128","schertz-tx",0.7443609022556391
0,"Owner Occupied",2017,"2017",2019,301,"Selma, TX","16000US4866704","selma-tx",0.6491961414790997
0,"Owner Occupied",2017,"2017",1170,89,"Shavano Park, TX","16000US4867268","shavano-park-tx",0.9558823529411765
0,"Owner Occupied",2017,"2017",1643,183,"Terrell Hills, TX","16000US4872296","terrell-hills-tx",0.9214806505888952
0,"Owner Occupied",2017,"2017",6571,255,"Timberwood Park, TX","16000US4873057","timberwood-park-tx",0.814149423863214
0,"Owner Occupied",2017,"2017",211,41,"Von Ormy, TX","16000US4875764","von-ormy-tx",0.6317365269461078
0,"Owner Occupied",2017,"2017",1793,229,"Windcrest, TX","16000US4879672","windcrest-tx",0.8213467704993128
0,"Owner Occupied",2017,"2017",497765,3377,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx",0.6257110138161377
0,"Owner Occupied",2016,"2016",74881068,360470,"United States","01000US","united-states",0.6361150331368476
0,"Owner Occupied",2016,"2016",5747458,28451,"Texas","04000US48","texas",0.6187011776884014
0,"Owner Occupied",2016,"2016",363215,3194,"Bexar County, TX","05000US48029","bexar-county-tx",0.582709390506657
0,"Owner Occupied",2016,"2016",2454,222,"Alamo Heights, TX","16000US4801600","alamo-heights-tx",0.7364945978391356
0,"Owner Occupied",2016,"2016",160,66,"Balcones Heights, TX","16000US4805384","balcones-heights-tx",0.11747430249632893
0,"Owner Occupied",2016,"2016",1302,157,"Castle Hills, TX","16000US4813276","castle-hills-tx",0.7547826086956522
0,"Owner Occupied",2016,"2016",387,63.00000000000001,"China Grove, TX","16000US4814716","china-grove-tx",0.9325301204819277
0,"Owner Occupied",2016,"2016",4384,278,"Converse, TX","16000US4816468","converse-tx",0.6721864458754984
0,"Owner Occupied",2016,"2016",893,121,"Cross Mountain, TX","16000US4817811","cross-mountain-tx",0.8628019323671497
0,"Owner Occupied",2016,"2016",2773,231.99999999999997,"Fair Oaks Ranch, TX","16000US4825168","fair-oaks-ranch-tx",0.9194297082228117
0,"Owner Occupied",2016,"2016",2519,166,"Helotes, TX","16000US4833146","helotes-tx",0.933308632826973
0,"Owner Occupied",2016,"2016",265,37,"Hill Country Village, TX","16000US4833968","hill-country-village-tx",0.9636363636363636
0,"Owner Occupied",2016,"2016",1175,114.00000000000001,"Hollywood Park, TX","16000US4834628","hollywood-park-tx",0.8729569093610698
0,"Owner Occupied",2016,"2016",2090,275,"Kirby, TX","16000US4839448","kirby-tx",0.6785714285714286
0,"Owner Occupied",2016,"2016",0,18,"Lackland AFB, TX","16000US4840036","lackland-afb-tx",0
0,"Owner Occupied",2016,"2016",2326,228.00000000000003,"Leon Valley, TX","16000US4842388","leon-valley-tx",0.5790390838934528
0,"Owner Occupied",2016,"2016",3500,298,"Live Oak, TX","16000US4843096","live-oak-tx",0.5690131685904731
0,"Owner Occupied",2016,"2016",620,54.99999999999999,"Olmos Park, TX","16000US4853988","olmos-park-tx",0.7663782447466008
0,"Owner Occupied",2016,"2016",266039,2931,"San Antonio, TX","16000US4865000","san-antonio-tx",0.541130023025165
0,"Owner Occupied",2016,"2016",1648,133,"Scenic Oaks, TX","16000US4866089","scenic-oaks-tx",0.948762233736327
0,"Owner Occupied",2016,"2016",9511,388,"Schertz, TX","16000US4866128","schertz-tx",0.7440932561414489
0,"Owner Occupied",2016,"2016",2020,255,"Selma, TX","16000US4866704","selma-tx",0.6620780072107506
0,"Owner Occupied",2016,"2016",1141,93,"Shavano Park, TX","16000US4867268","shavano-park-tx",0.9564124056999161
0,"Owner Occupied",2016,"2016",1747,122,"Terrell Hills, TX","16000US4872296","terrell-hills-tx",0.9453463203463204
0,"Owner Occupied",2016,"2016",6576,271,"Timberwood Park, TX","16000US4873057","timberwood-park-tx",0.8137606731840119
0,"Owner Occupied",2016,"2016",177,38,"Von Ormy, TX","16000US4875764","von-ormy-tx",0.6232394366197183
0,"Owner Occupied",2016,"2016",1841,246.00000000000003,"Windcrest, TX","16000US4879672","windcrest-tx",0.822609472743521
0,"Owner Occupied",2016,"2016",487851,3908,"San Antonio-New Braunfels, TX","31000US41700","san-antonio-new-braunfels-tx",0.6205524094454535
0,"Owner Occupied",2015,"2015",74712091,353420,"United States","01000US","united-states",0.6389673478521365
0,"Owner Occupied",2015,"2015",5693770,28353,"Texas","04000US48","texas",0.6223246283061376
0,"Owner Occupied",2015,"2015",361851,3462,"Bexar County, TX","05000US48029","bexar-county-tx",0.584733150084595
0,"Owner Occupied",2015,"2015",2411,184,"Alamo Heights, TX","16000US4801600","alamo-heights-tx",0.7845753335502766
0,"Owner Occupied",2015,"2015",139,46,"Balcones Heights, TX","16000US4805384","balcones-heights-tx",0.10281065088757396
0,"Owner Occupied",2015,"2015",1275,139,"Castle Hills, TX","16000US4813276","castle-hills-tx",0.7114955357142857
0,"Owner Occupied",2015,"2015",414,57.00000000000001,"China Grove, TX","16000US4814716","china-grove-tx",0.9345372460496614
0,"Owner Occupied",2015,"2015",4298,321,"Converse, TX","16000US4816468","converse-tx",0.6529930112427833
0,"Owner Occupied",2015,"2015",842,135,"Cross Mountain, TX","16000US4817811","cross-mountain-tx",0.8453815261044176
0,"Owner Occupied",2015,"2015",2345,207,"Fair Oaks Ranch, TX","16000US4825168","fair-oaks-ranch-tx",0.912096460521198
0,"Owner Occupied",2015,"2015",2384,280,"Helotes, TX","16000US4833146","helotes-tx",0.8942235558889723
0,"Owner Occupied",2015,"2015",275,34,"Hill Country Village, TX","16000US4833968","hill-country-village-tx",0.9515570934256056
0,"Owner Occupied",2015,"2015",1165,129,"Hollywood Park, TX","16000US4834628","hollywood-park-tx",0.8642433234421365
0,"Owner Occupied",2015,"2015",2101,296,"Kirby, TX","16000US4839448","kirby-tx",0.7277450640803602
0,"Owner Occupied",2015,"2015",0,18,"Lackland AFB, TX","16000US4840036","lackland-afb-tx",0
0,"Owner Occupied",2015,"2015",2491,213.99999999999997,"Leon Valley, TX","16000US4842388","leon-valley-tx",0.6021271452743534
0,"Owner Occupied",2015,"2015",3307,315,"Live Oak, TX","16000US4843096","live-oak-tx",0.5812972402882757
0,"Owner Occupied",2015,"2015",601,52,"Olmos Park, TX","16000US4853988","olmos-park-tx",0.7338217338217338
0,"Owner Occupied",2015,"2015",265712,2768,"San Antonio, TX","16000US4865000","san-antonio-tx",0.5437730868012566
0,"Owner Occupied",2015,"2015",1650,140,"Scenic Oaks, TX","16000US4866089","scenic-oaks-tx",0.9581881533101045
0,"Owner Occupied",2015,"2015",9356,432.99999999999994,"Schertz, TX","16000US4866128","schertz-tx",0.7511239563262685
0,"Owner Occupied",2015,"2015",1738,294,"Selma, TX","16000US4866704","selma-tx",0.6762645914396888
